Title;Price;Image;Link
Mémoire de bureau Corsair Vengeance RGB PRO 32 Go (2x16 Go) DDR4 3600 (PC4-28800) C18 - Noir;98,89 €;https://m.media-amazon.com/images/I/71e6YWJio-L._AC_UL320_.jpg;https://www.amazon.fr/M%C3%A9moire-bureau-Corsair-Vengeance-PC4-28800/dp/B082DJ19CK/ref=sr_1_11?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-11
Corsair Vengeance RGB RS 32Go (2x16Go) DDR4 3200MHz C16 Mémoire de Bureau (Éclairage Dynamique, Temps de Réponse Serrés, Compatible avec Intel & AMD 300/400/500 Series) Noir;79,99 €;https://m.media-amazon.com/images/I/71bOpUCORIL._AC_UL320_.jpg;https://www.amazon.fr/Corsair-Vengeance-%C3%89clairage-Dynamique-Compatible/dp/B09C5X1T7V/ref=sr_1_12?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-12
Corsair VENGEANCELPX16GB (2 x 8 Go) DDR4 3600 (Pc4-28800) C181.35V Mémoire de Bureau Noir;42,99 €;https://m.media-amazon.com/images/I/5180-X-X7YL._AC_UL320_.jpg;https://www.amazon.fr/Corsair-VENGEANCELPX16GB-Pc4-28800-C181-35V-M%C3%A9moire/dp/B07RM39V5F/ref=sr_1_13?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-13
Kingston FURY Beast RGB 16GB (2x8GB) 3200MT/s DDR4 CL16 Mémoire Kit pour PC Kit de 2 KF432C16BBAK2/16;58,89 €;https://m.media-amazon.com/images/I/71nQp70NhYL._AC_UL320_.jpg;https://www.amazon.fr/Kingston-3200MHz-M%C3%A9moire-KF432C16BBAK2-16/dp/B097HNYMYR/ref=sr_1_14?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-14
Corsair Vengeance LPX 32GB (2 X 16GB) DDR4 3600 (PC4-28800) C18 1.35V Desktop Memory - noire;72,99 €;https://m.media-amazon.com/images/I/51gLnYN1W7L._AC_UL320_.jpg;https://www.amazon.fr/Corsair-Vengeance-PC4-28800-Desktop-Memory/dp/B07ZPLM1R1/ref=sr_1_15?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-15
MEM D4 3200 16G (2x8G) CORSAIR (CMW16GX4M2C3200C16W) Vg RGB Blc 8719;60,99 €;https://m.media-amazon.com/images/I/71C1X+25Q+L._AC_UL320_.jpg;https://www.amazon.fr/3200-2x8G-CORSAIR-CMW16GX4M2C3200C16W-8719/dp/B07D5SN1ZK/ref=sr_1_16?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-16
Mémoire de bureau Corsair VENGEANCE RGB PRO SL 32 Go (2x16 Go) DDR4 3600 (PC4-28800) C18 1,35 V - Blanche;100,31 €;https://m.media-amazon.com/images/I/71DkL7k9yjL._AC_UL320_.jpg;https://www.amazon.fr/M%C3%A9moire-bureau-Corsair-VENGEANCE-PC4-28800/dp/B08SQRF8MJ/ref=sr_1_17?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-17
Crucial RAM 16Go DDR4 3200MHz CL22 (ou 2933MHz ou 2666MHz) Mémoire Portable CT16G4SFRA32A;37,47 €;https://m.media-amazon.com/images/I/71oz85Vv6mL._AC_UL320_.jpg;https://www.amazon.fr/Crucial-CT16G4SFRA32A-M%C3%A9moire-dordinateur-Portable/dp/B08C511GQH/ref=sr_1_18?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-18
Crucial RAM CT8G4SFS824A 8Go DDR4 2400MHz CL17 Mémoire d’ordinateur Portable;19,66 €;https://m.media-amazon.com/images/I/71exOjbZWiL._AC_UL320_.jpg;https://www.amazon.fr/Crucial-CT8G4SFS824A-PC4-19200-260-Pin-M%C3%A9moire/dp/B01BIWKP58/ref=sr_1_19?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-19
Kingston FURY Beast 16GB (2x8GB) 3200MHz DDR4 CL16 Mémoire Kit pour PC Kit de 2 KF432C16BBK2/16;No Price Found;https://m.media-amazon.com/images/I/51wpwiKBJAS._AC_UL320_.jpg;https://www.amazon.fr/Kingston-3200MHz-M%C3%A9moire-KF432C16BBK2-16/dp/B097K2WBL3/ref=sr_1_20?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-20
